gene,cluster identity
Map2k2,blue
Evl,blue
Cplx1,blue
Rps3,blue
Prkcz,blue
Tet3,blue
Fam126a,blue
Cbl,blue
Ralbp1,blue
Megf8,blue
Trappc10,blue
Prkcsh,blue
Acap3,blue
Map1s,blue
Nyap1,blue
Egln1,blue
Slc6a8,blue
Ppt1,blue
Ttl,blue
Cacna1h,blue
Ablim3,blue
Cpt1c,blue
Dennd5a,blue
Slc17a7,blue
Cnksr2,blue
Fbxw8,blue
Trak1,blue
Kcnq2,blue
Ulk2,blue
Pkp4,blue
Kcnip2,blue
Sox11,blue
Kalrn,blue
Ago2,blue
Psd3,blue
Faim2,blue
Dynll1,blue
Prkcb,blue
Camkv,blue
Stx1a,blue
Pink1,blue
Arhgef7,blue
Ube2i,blue
Ppp2r5b,blue
Cacna1a,blue
Arhgap35,blue
Src,blue
Cit,blue
Ncdn,blue
Rap1gap2,blue
Nefl,blue
Syngap1,blue
Parp6,blue
Stau2,blue
Asic2,purple
Arrb1,purple
Kif5c,purple
Ppfia3,purple
Mcrs1,purple
Dlg2,purple
Nomo1,purple
Kcnab2,purple
Rpsa,purple
Trak2,purple
Map1a,purple
Dgkz,purple
Fbxo31,purple
Dvl1,purple
Srf,purple
Grik5,purple
Btbd3,purple
Jph4,purple
Dlg4,purple
Hpcal4,purple
Cdk16,purple
Homer2,purple
Kif5b,purple
Ncs1,purple
Hcn2,purple
Git1,purple
Camk2n1,purple
Ppp1r9b,purple
Ddn,purple
Nrsn1,purple
Epn1,purple
Palm,purple
Nsmf,purple
Kif5a,purple
Camk2a,purple
Shank1,purple
Psd,purple
